CID,BDATE,GEN
NASAW00011815,1981-04-20,Female
NASAW00011816,1981-10-19,Male
NASAW00011817,1981-11-23,Female
NASAW00011818,1975-10-20,Male
NASAW00011819,1973-04-08,Male
NASAW00011820,1977-08-22,Female
NASAW00011821,1971-10-13,Male
NASAW00011822,1971-12-11,Female
NASAW00011823,1977-10-20,Female
NASAW00011824,1977-10-03,Female
NASAW00011825,1971-11-15,Female
NASAW00011826,1971-08-15,Female
NASAW00011827,1980-09-16,Female
NASAW00011828,1980-06-04,Female
NASAW00011829,1975-05-02,Female
NASAW00011830,1974-07-15,Female
NASAW00011831,1975-05-24,Male
NASAW00011832,1976-04-01,Female
NASAW00011833,1982-01-16,Male
NASAW00011834,1982-04-20,M
NASAW00011835,1970-12-17,Male
NASAW00011836,1970-10-25,M
NASAW00011837,1976-08-05,F
NASAW00011838,1970-08-09,Male
NASAW00011839,1976-07-21,Male
NASAW00011840,1976-05-13,Male
NASAW00011841,1969-09-13,Male
NASAW00011842,1970-04-03,Male
NASAW00011843,1975-11-08,Female
NASAW00011844,1969-10-06,Female
NASAW00011845,1930-02-15,Female
NASAW00011846,1969-12-13,Female
NASAW00011847,1970-05-31,Female
NASAW00011848,1975-02-24,Male
NASAW00011849,1970-03-13,Female
NASAW00011850,1980-09-16,Female
NASAW00011851,1969-03-07,Female
NASAW00011852,1969-04-23,Male
NASAW00011853,1979-11-15,Female
NASAW00011854,1973-10-16,Male
NASAW00011855,1974-08-09,Male
NASAW00011856,1969-02-13,Male
NASAW00011857,1974-03-08,Female
NASAW00011858,1968-06-05,Male
NASAW00011859,1968-03-08,Male
NASAW00011860,1967-07-09,Female
NASAW00011861,1967-10-22,Female
NASAW00011862,1972-09-11,Female
NASAW00011863,1967-04-10,Female
NASAW00011864,1967-03-06,Female
NASAW00011865,1966-08-06,Female
NASAW00011866,1966-12-30,Male
NASAW00011867,1971-04-21,Male
NASAW00011868,1973-01-31,Female
NASAW00011869,1984-05-01,Female
NASAW00011870,1978-07-10,Female
NASAW00011871,1978-08-12,Male
NASAW00011872,1978-07-17,Female
NASAW00011873,1972-10-09,Male
NASAW00011874,1978-03-06,Male
NASAW00011875,1966-01-31,Male
NASAW00011876,1966-05-13,Female
NASAW00011877,1966-04-06,Female
NASAW00011878,1971-02-04,Female
NASAW00011879,1971-09-30,Male
NASAW00011880,1965-02-16,Female
NASAW00011881,1965-01-20,Male
NASAW00011882,1975-09-05,Male
NASAW00011883,1965-02-10,Female
NASAW00011884,1970-04-22,Female
NASAW00011885,1970-09-21,Male
NASAW00011886,1963-07-20,Female
NASAW00011887,1963-10-03,Male
NASAW00011888,1969-12-18,Male
NASAW00011889,1963-11-25,Male
NASAW00011890,1964-05-14,Female
NASAW00011891,1969-09-13,Female
NASAW00011892,1975-04-07,Male
NASAW00011893,1974-08-09,Male
NASAW00011894,1980-04-30,Female
NASAW00011895,1975-01-18,Male
NASAW00011896,1975-05-18,Male
NASAW00011897,1974-05-28,Male
NASAW00011898,1975-12-31,Female
NASAW00011899,1976-03-15,Female
NASAW00011900,1981-03-03,Male
NASAW00011901,1973-08-18,Female
NASAW00011902,1972-09-14,Male
NASAW00011903,1985-10-21,Female
NASAW00011904,1986-05-05,Female
NASAW00011905,1974-12-14,Male
NASAW00011906,1972-08-17,Female
NASAW00011907,1973-03-07,Female
NASAW00011908,1972-01-08,Male
NASAW00011909,1971-08-10,Female
NASAW00011910,1971-12-10,Female
NASAW00011911,1972-05-15,Female
NASAW00011912,2066-06-16,Female
NASAW00011913,1970-12-09,Female
NASAW00011914,1979-05-05,Female
NASAW00011915,9999-09-13,Male
NASAW00011916,1976-09-03,Male
NASAW00011917,1971-04-21,Male
NASAW00011918,1969-08-31,Female
NASAW00011919,1969-08-17,Male
NASAW00011920,1975-02-24,Female
NASAW00011921,1970-06-22,Male
NASAW00011922,1985-02-13,Male
NASAW00011923,1985-04-21,Female
NASAW00011924,1985-04-23,Male
NASAW00011925,1984-05-05,Female
NASAW00011926,1983-09-15,Male
NASAW00011927,1984-01-21,Female
NASAW00011928,1984-03-06,Female
NASAW00011929,1962-08-08,Female
NASAW00011930,1952-10-31,Female
NASAW00011931,1984-05-12,Male
NASAW00011932,1984-02-08,Female
NASAW00011933,1982-09-01,Male
NASAW00011934,1983-04-13,Male
NASAW00011935,1983-05-19,Female
NASAW00011936,1982-10-09,Male
NASAW00011937,1982-12-03,Male
NASAW00011938,1983-03-21,Male
NASAW00011939,1982-12-20,Male
NASAW00011940,1983-01-09,Male
NASAW00011941,1982-05-26,Male
NASAW00011942,1954-12-11,Male
NASAW00011943,1954-08-27,Female
NASAW00011944,1956-04-13,Female
NASAW00011945,1986-03-11,Male
NASAW00011946,1956-07-02,Female
NASAW00011947,1957-04-20,Female
NASAW00011948,1956-10-07,Female
NASAW00011949,1986-05-05,Female
NASAW00011950,1985-03-09,Female
NASAW00011951,1958-02-03,Female
NASAW00011952,1960-03-22,Male
NASAW00011953,1981-03-03,Female
NASAW00011954,1981-02-13,Male
NASAW00011955,1980-10-02,Male
NASAW00011956,1985-08-30,Female
NASAW00011957,1979-02-09,Female
NASAW00011958,1978-07-06,Male
NASAW00011959,1978-10-05,Female
NASAW00011960,1978-12-31,Female
NASAW00011961,1978-12-22,Female
NASAW00011962,1982-05-28,Female
NASAW00011963,1960-12-10,Male
NASAW00011964,1967-02-13,Male
NASAW00011965,1962-04-18,Female
NASAW00011966,1967-02-13,Male
NASAW00011967,1962-08-10,Female
NASAW00011968,1964-04-19,Female
NASAW00011969,1964-01-22,Male
NASAW00011970,1984-11-12,Female
NASAW00011971,1979-03-03,Female
NASAW00011972,1979-09-20,Female
NASAW00011973,1979-08-03,Female
NASAW00011974,1979-08-07,Male
NASAW00011975,1980-04-02,Female
NASAW00011976,1970-05-22,Female
NASAW00011977,1964-11-19,Female
NASAW00011978,1977-10-18,Male
NASAW00011979,1962-11-05,Male
NASAW00011980,1963-06-17,Female
NASAW00011981,1962-08-03,Female
NASAW00011982,1962-10-02,Female
NASAW00011983,1968-02-24,Female
NASAW00011984,1962-12-04,Male
NASAW00011985,1963-05-18,Female
NASAW00011986,1969-01-20,Male
NASAW00011987,1973-05-26,Female
NASAW00011988,1968-02-17,Female
NASAW00011989,1984-03-20,Female
NASAW00011990,1968-01-12,Female
NASAW00011991,1968-02-07,Male
NASAW00011992,1972-06-09,Female
NASAW00011993,1977-09-12,Female
NASAW00011994,1977-10-18,Female
NASAW00011995,1965-12-12,Male
NASAW00011996,1966-01-30,Female
NASAW00011997,1971-04-04,Female
NASAW00011998,1966-02-07,Female
NASAW00011999,1965-12-03,Male
NASAW00012000,1970-09-09,Female
