CID,BDATE,GEN
NASAW00011584,1971-05-22,Male
NASAW00011585,1976-03-04,Female
NASAW00011586,1971-06-14,Male
NASAW00011587,1975-10-18,Male
NASAW00011588,1970-01-11,Female
NASAW00011589,1975-05-01,Female
NASAW00011590,1980-04-12,Female
NASAW00011591,1968-11-12,Female
NASAW00011592,1984-03-03,Male
NASAW00011593,1982-09-22,Male
NASAW00011594,1985-05-03,Male
NASAW00011595,1984-12-29,Male
NASAW00011596,1969-03-02,Male
NASAW00011597,1983-08-06,Female
NASAW00011598,1983-12-30,Female
NASAW00011599,1983-03-16,Female
NASAW00011600,1982-10-05,Female
